"KKAL_ID","KKAL_GRUPAS_KODS","KKAL_SHIFRS","KKAL_NOSAUKUMS","KKAL_APRAKSTS","KKAL_NORMATIVS","KKAL_MERVIENIBA","KKAL_IR_AKTIVS","KKAL_FIZ_RADIJUMS","KKAL_KOEFICENT","KKAL_KEDI_SECTION","KKAL_KWOI_ID","KKAL_PLAN_PRICE","KKAL_NOT_PLAN_PRICE","KKAL_1","KKAL_2","KKAL_3","KKAL_4","KKAL_5","KKAL_6","KKAL_7","KKAL_8","KKAL_9","KKAL_10"
"167","40","58700","Pārsprieguma novadītāja maiņa (20 kV EPL)","Darbos ietilpst: pārsprieguma novadītāja maiņa (20 kV)","2.00","gab","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"168","40","58910","Trases tīrīšana ar rokām < 4 kr./kv.m (20 kV EPL)","Darbos ietilpst: koku un krūmu zāģēšana ar krūmgriezi vai motorzāģi","35.00","ha","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"169","40","58920","Trases tīrīšana ar rokām > 4 kr./kv.m (20 kV EPL)","Darbos ietilpst: koku un krūmu zāģēšana ar krūmgriezi vai motorzāģi","65.00","ha","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"170","40","58930","Zaru apgriešana ar rokām (20 kV EPL)","Darbos ietilpst: zaru apzāģēšana","1.00","koks","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"171","40","58940","Bīstamo koku novākšana (20 kV EPL)","Darbos ietilpst: atsevišķa koka nozāģēšana","1.50","koks","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"172","40","58960","Zaru kaudžu sadedzināšana (20 kV EPL)","Darbos ietilpsts: zaru kaudžu sadedzināšana pēc trases tīrīšanas","20.00","ha","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"173","40","58970","Nozēģēto koku, zaru savākšana un nokraušana gar trasi (20 kV EPL)","Darbos ietilpsts: nozāģēto koku, zaru savākšana un nokraušana gar trasi","0.50","m3","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"174","40","58980","Nozāģēto koku, zaru aizvešana no trases (20 kV EPL)","Darbos ietilpsts: nozāģēto koku, zaru, iekraušana, aizvešana, izkraušana","1.00","m3","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"175","40","58990","Stārķa ligzdas demontāža (20 kV EPL)","Darbos ietilpst: esošās stārķa ligzdas demontāža.","5.00","gab","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"176","40","59910","Balstu numerācija (20 kV EPL)","Darbos ietilpst: balsta numura piestiprināšana esošam balstsam, kalkulāciju nepielieto pie jauna balsta uztādīšanas","0.15","uzraksts","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"177","40","59920","Drošības zīmju piestiprināšana balstiem (20 kV EPL)","Darbos ietilpst: drošības zīmju piestiprināšana esošam balstsam, kalkulāciju nepielieto pie jauna balsta uztādīšanas","0.20","gab","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"178","40","59930","Skavu krāsošana (20 kV EPL)","Darbos ietilpst: skavu krāsošana ","0.09","balsts","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"179","40","59950","Balsta augšējā revīzija (20 kV EPL)","Darbos ietilpst: pacelšanās balstā, izolatoru vizuālā pārbaude, kāšu stiprinājuma pārbaude, vadu sējuma pārbaude, cepurītes pārbaude","1.10","balsts","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"180","40","59990","20 kV EPL apskates","Darbos ietilpst: EPL apskate ar mērķi noteikt defektu, bojājumu vai precizēt plānoto darbu apjomu","0.70","km","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"181","60","60050","6-10 kV papīra (eļļas) izolācijas kabeļa (35-120mm2) galu apdare ar kabeļa uzgaļiem","Darbos ietilpst: kabeļu šahtā vai elektroietaisē remontam sagatavota kabeļa gala apdare ar kabeļu kurpēm, nepagarinot un neveicot kabeļa pievienojumu un papildus nostiprināšanu","2.90","gab","1","6v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"182","60","60240","6-10 kV papīra (eļļas) izolācijas kabeļa (150-240mm2) galu apdare ar kabeļa uzgaļiem","Darbos ietilpst: kabeļu šahtā vai elektroietaisē remontam sagatavota kabeļa gala apdare ar kabeļu kurpēm, nepagarinot un neveicot kabeļa pievienojumu un papildus nostiprināšanu","3.50","gab","1","6v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"183","60","61120","S/u (1 gab.) montāža 6-10 kV papīra izolācijas (eļļas) kabelim līdz 120 mm2","Darbos ietilpst: kabeļu šahtā vai atraktā tranšejā remontam sagatavota kabeļa svienošana ar kabeļa posmu, montējot vienu s/u un  ieguldot kabeļa signāllentu, kur nepieciešams","6.80","gab","1","6v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"184","60","61240","S/u (1 gab.) montāža 6-10 kV papīra izolācijas (eļļas) no 150 mm2 kabelim","Darbos ietilpst: kabeļu šahtā vai atraktā tranšejā remontam sagatavota kabeļa svienošana ar kabeļa posmu, montējot vienu s/u un  ieguldot kabeļa signāllentu, kur nepieciešams","7.30","gab","1","6v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"185","60","62900","S/u  (1 gab.) montāža 20 kV kabelim","Darbos ietilpst: kabeļu šahtā vai atraktā tranšejā remontam sagatavota kabeļa svienošana montējot vienu s/u un ieguldot kabeļa signāllentu, kur nepieciešams","14.60","gab","1","6v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"186","60","63001","20 kV kabeļa gala apdare","Darbos ietilpst: kabeļu šahtā vai elektroietaisē remontam sagatavota kabeļa gala apdares montāža, nepagarinot, neveicot kabeļa pievienojumu un papildus nostiprināšanu","4.30","gab","1","6v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"187","60","63003","S/u (1 gab.) montāža 6-10 kV plastmasas (sausie) izol.kab.","Darbos ietilpst: kabeļu šahtā vai atraktā tranšejā remontam sagatavota kabeļa svienošana ar kabeļa posmu, montējot  vienu s/u un  ieguldot kabeļa signāllentu, kur nepieciešams","5.20","gab","1","6v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"188","60","63007","G/u montāža 6-10 kV plastmasas (sausais) izolācijas kabelim","Darbos ietilpst: kabeļu šahtā vai elektroietaisē remontam sagatavota kabeļa gala apdares montāža un k/k presēšana, nepagarinot kabeli, neveicot kabeļa pievienojumu un papildus nostiprināšanu","3.20","gab","1","6v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"189","60","63012","s/u (1gab) montaza 6-10kV parejas uzmava (ella-sausais)","Darbos ietilpst: kabeļu šahtā vai atraktā tranšejā remontam sagatavota kabeļa svienošana ar kabeļa posmu, montējot  vienu s/u un  ieguldot kabeļa signāllentu, kur nepieciešams","8.60","gab","1","6v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"190","60","63013","Tranšeja kab.šurfēšanai (atrakš.+aizbērš.) (20 kV)","Darbos ietilpst: skatrakuma izveidošana, aizbēršana.","3.00","gab","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"191","60","63014","Kabeļa guldīšana 1 kabelis (20 kV KL)","Darbos ietilpst: apakšējā spilvena sagatavošana izraktā tranšejā, kabeļa guldīšana, augšējā spilvena sagatavošana, signāllentas ielikšana.","0.30","m","1",NULL,"1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"192","60","63015","Kabeļa guldīšana 2 kabeļi (20 kV KL)","Darbos ietilpst: apakšējā spilvena sagatavošana izraktā tranšejā, 2 kabeļu guldīšana, augšējā spilvena sagatavošana, signāllentas ielikšana.","0.50","m","1",NULL,"1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"193","60","63016","Tranšejas izrakš.un aizbērš.ar rokām (20 kV)","Darbos ietilpst: tranšejas, kas paredzēta kabeļa guldīšanai, rakšana ar rokām pa norādīto trasi, LEK prasībām atbilstošā dziļumā un aizberšana ar rokām pēc kabeļa ieguldīšanas","0.33","m","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"194","60","63017","Cietā seguma noņemšana tranšejas rakšanai (20 kV KL)","Darbos ietilpst: cietā seguma (asfalts, bruģis, betona plāksnes, šķembu segums u.tml.) noņemšana bez tranšejas rakšanas","1.60","m","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"195","60","63018","Kabeļa montāža pa balstu ar pievienošanu (20 kV KL)","Darbos ietilpst: KL distances montāža balstā (distances naglas), KL piestiprināšana un pievienošana ar spailēm.","0.90","kabelis","1",NULL,"1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"196","60","63020","Kabeļa aizsargcaurules montāža (20 kV KL)","Darbos ietilpst: atrakta kabeļa ievietošana aizsargcaurulē vai pirms guldīšanas tranšejā","0.37","gab","1",NULL,"1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"197","60","63030","Bederes rakšana KL remontam (20 kV KL)","Darbos ietilpst: bedres izrakšana KL remontam un aizbēršana pēc remonta.","2.00","m3","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"198","60","69900","Telts uzstādīšana (20 kV KL)","Darbos ietilpst: telts uzstādīšana kabeļlīnijas remonta veikšanai","0.60","telts","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"199","70","70010","Slēgtā vienkameru TP remonts","Darbos ietilpst: mērījumi (pārsprieguma aizsardzība, transformators, zemējuma kontūrs, fīderu zemējumi), kontaktsavienojumu pārvilkšana, slēdžu un durvju eļļošana, putekļu un netīrumu tīrīšana, drošinātāju nominālu pārbaude un nomaiņa, salocīto drošinātājlūpu taisnošana, TP ārdurvju un sietu krāsošana no ārpuses bez gruntēšanas, zemējuma kontūra krāsošana, apgaismojuma remonts, z.spr. sadales krāsošana no ārpuses bez gruntēšanas, operatīvo apzīmējumu atjaunošana","19.00","TP","1","9v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"200","70","70015","Slēgtā vienkameru TP remonts  (bez krāsošanas)","Darbos ietilpst: mērījumi (pārsprieguma aizsardzība, transformators, zemējuma kontūrs, fīderu zemējumi), kontaktsavienojumu pārvilkšana, slēdžu un durvju eļļošana, putekļu un netīrumu tīrīšana, drošinātāju nominālu pārbaude un nomaiņa, salocīto drošinātājlūpu taisnošana, zemējuma kontūra krāsošana, apgaismojuma remonts, operatīvo apzīmējumu atjaunošana","14.00","TP","1","9v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"201","70","70020","Slēgtā divkameru TP remonts","Darbos ietilpst: mērījumi (pārsprieguma aizsardzība, transformators, zemējuma kontūrs, fīderu zemējumi), kontaktsavienojumu pārvilkšana, slēdžu un durvju eļļošana, putekļu un netīrumu tīrīšana, drošinātāju nominālu pārbaude un nomaiņa, salocīto drošinātājlūpu taisnošana, TP ārdurvju un sietu krāsošana no ārpuses bez gruntēšanas, zemējuma kontūra krāsošana, apgaismojuma remonts, z.spr. sadales krāsošana no ārpuses bez gruntēšanas, operatīvo apzīmējumu atjaunošana","23.00","TP","1","9v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"202","70","70025","Slēgtā divkameru TP remonts (bez krāsošanas)","Darbos ietilpst: mērījumi (pārsprieguma aizsardzība, transformators, zemējuma kontūrs, fīderu zemējumi), kontaktsavienojumu pārvilkšana, slēdžu un durvju eļļošana, putekļu un netīrumu tīrīšana, drošinātāju nominālu pārbaude un nomaiņa, salocīto drošinātājlūpu taisnošana, zemējuma kontūra krāsošana, apgaismojuma remonts, operatīvo apzīmējumu atjaunošana","16.00","TP","1","9v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"203","70","70030","Slēgtā TP atdalītāja revīzija","Darbos ietilpst: kontaktsavienojumu pārvilkšana, atdalītāju eļļošana, regulēšana un izolācijas tīrīšana, putekļu un netīrumu tīrīšana, operatīvo apzīmējumu atjaunošana, piedziņas krāsošana","3.00","gab","1","7v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"204","70","70035","Slēgtā TP atdalītāja revīzija (bez krāsošanas)","Darbos ietilpst: kontaktsavienojumu pārvilkšana, atdalītāju eļļošana, regulēšana un izolācijas tīrīšana, putekļu un netīrumu tīrīšana, operatīvo apzīmējumu atjaunošana.","2.00","gab","1","7v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"205","70","70040","Slēgtā vienkameru TP izolācijas un telpu tīrīšana","Darbos ietilpst: slēgtā vienkameru TP izolācijas un telpu tīrīšana","8.20","TP","1",NULL,"1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"206","70","70050","Slēgtā divkameru TP izolācijas un telpu tīrīšana","Darbos ietilpst: slēgtā divkameru TP izolācijas un telpu tīrīšana","12.00","TP","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"207","70","70060","KTPO tipa  20/0.4 kV, 160-400 kVA TP remonts","Darbos ietilpst: mērījumi (pārsprieguma aizsardzība, transformators, zemējuma kontūrs, fīderu zemējumi), kontaktsavienojumu pārvilkšana, slēdžu un durvju eļļošana, netīrumu un vecās krāsas notīrīšana, drošinātāju nominālu pārbaude un nomaiņa, salocīto drošinātājlūpu taisnošana, ārpuses krāsošana bez gruntēšanas, zemējuma krāsošana, operatīvo apzīmējumu atjaunošana","21.00","TP","1","9v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"208","70","70065","KTPO tipa  20/0.4 kV, 160-400 kVA TP remonts (bez krāsošanas)","Darbos ietilpst: mērījumi (pārsprieguma aizsardzība, transformators, zemējuma kontūrs, fīderu zemējumi), kontaktsavienojumu pārvilkšana, slēdžu un durvju eļļošana, netīrumu notīrīšana, drošinātāju nominālu pārbaude un nomaiņa, salocīto drošinātājlūpu taisnošana, zemējuma krāsošana, operatīvo apzīmējumu atjaunošana","12.00","TP","1","9v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"209","70","70070","KTPN, KTPS tipa 20/0.4 kV līdz 160 kVA TP remonts","Darbos ietilpst: mērījumi (pārsprieguma aizsardzība, transformators, zemējuma kontūrs, fīderu zemējumi), kontaktsavienojumu pārvilkšana, slēdžu un durvju eļļošana, netīrumu un vecās krāsas notīrīšana, drošinātāju nominālu pārbaude un nomaiņa, salocīto drošinātājlūpu taisnošana, ārpuses krāsošana bez gruntēšanas, zemējuma krāsošana, operatīvo apzīmējumu atjaunošana","17.00","TP","1","9v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"210","70","70075","KTPN, KTPS tipa 20/0.4 kV līdz 160 kVA TP remonts (bez krāsošanas)","Darbos ietilpst: mērījumi (pārsprieguma aizsardzība, transformators, zemējuma kontūrs, fīderu zemējumi), kontaktsavienojumu pārvilkšana, slēdžu un durvju eļļošana, netīrumu  notīrīšana, drošinātāju nominālu pārbaude un nomaiņa, salocīto drošinātājlūpu taisnošana, zemējuma krāsošana, operatīvo apzīmējumu atjaunošana","10.00","TP","1","9v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"211","70","70080","Brīvgaisa tipa 20/0.4 kV līdz 160 kVA TP remonts","Darbos ietilpst: mērījumi (pārsprieguma aizsardzība, transformators, zemējuma kontūrs, fīderu zemējumi), kontaktsavienojumu pārvilkšana, slēdžu un durvju eļļošana, netīrumu un vecās krāsas notīrīšana, drošinātāju nominālu pārbaude un nomaiņa, salocīto drošinātājlūpu taisnošana, z.spr. sadales krāsošana no ārpuses bez gruntēšanas, zemējuma krāsošana, operatīvo apzīmējumu atjaunošana","12.00","TP","1","9v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"212","70","70085","Brīvgaisa tipa 20/0.4 kV līdz 160 kVA TP remonts (bez krāsošanas)","Darbos ietilpst: mērījumi (pārsprieguma aizsardzība, transformators, zemējuma kontūrs, fīderu zemējumi), kontaktsavienojumu pārvilkšana, slēdžu un durvju eļļošana, netīrumu notīrīšana, drošinātāju nominālu pārbaude un nomaiņa, salocīto drošinātājlūpu taisnošana, zemējuma krāsošana, operatīvo apzīmējumu atjaunošana","9.20","TP","1","9v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"213","70","70090","Brīvgaisa TA tek. remonts","Darbos ietilpst: mērījumi (pārsprieguma aizsardzība, transformators, zemējuma kontūrs, fīderu zemējumi), kontaktsavienojumu pārvilkšana, slēdžu un durvju eļļošana, netīrumu un vecās krāsas notīrīšana, drošinātāju nominālu pārbaude un nomaiņa, salocīto drošinātājlūpu taisnošana, z.spr. sadales krāsošana no ārpuses bez gruntēšanas, zemējuma krāsošana, operatīvo apzīmējumu atjaunošana","21.00","gab","1","9v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"214","70","70095","Brīvgaisa TA tek. remonts (bez krāsošanas)","Darbos ietilpst: mērījumi (pārsprieguma aizsardzība, transformators, zemējuma kontūrs, fīderu zemējumi), kontaktsavienojumu pārvilkšana, slēdžu un durvju eļļošana, netīrumu notīrīšana, drošinātāju nominālu pārbaude un nomaiņa, salocīto drošinātājlūpu taisnošana, zemējuma krāsošana, operatīvo apzīmējumu atjaunošana","15.00","gab","1","9v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"215","70","70110","Pārsprieguma novadītāja maiņa (0.4 kV sadalē)","Darbos ietilpst: pārsprieguma novadītāja maiņa (0.4 kV sadalē)","1.00","gab","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"216","70","70120","Pārsprieguma novadītāja maiņa pie TP un SP(20 kV)","Darbos ietilpst: pārsprieguma novadītāja maiņa pie TP un SP(20 kV)","2.00","gab","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"217","70","70130","0.4 kV drošinātāju pamatu maiņa","Darbos ietilpst: 0.4 kV drošinātāju pamatu maiņa","2.00","gab","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"218","70","70140","20 kV drošinātāju pamatu maiņa","Darbos ietilpst: 20 kV drošinātāju pamatu maiņa","2.00","gab","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"219","70","70150","Svirslēdža (bloksl.) maiņa (0.4 kV)","Darbos ietilpst: svirslēdža (bloksl.) maiņa (0.4 kV)","3.10","gab","1","9z","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"220","70","70160","TP 0.4 kV izvadu (uz GVL) maiņa","Darbos ietilpst: TP 0.4 kV izvadu (uz GVL) maiņa","8.20","gab","1",NULL,"1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"221","70","70170","Caurvadu izolatora maiņa","Darbos ietilpst: caurvadu izolatora maiņa, un pievienošama","3.10","gab","1",NULL,"1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"222","70","70180","Z./spr. sadales nomaiņa KTA","Darbos ietilpst: izvadu atvienošana, vecās sadales demontāža, jaunās sadales montāža, izvadu pievienošana","10.00","gab","1","8z","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"223","70","70210","Brīvg. TP, grīdas un barjeras maiņa","Darbos ietilpst: veco grīdas dēļu un barjeru demontāža, jauno grīdas dēļu un barjeru montāža","12.00","TA","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"224","70","70230","Brusu nomaiņa BTA zem grīdas","Darbos ietilpst: esošās brusas demontāža, jaunās brusas sagatavošana, jaunās brusas uzstādīšana","20.00","kompl.","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"225","70","70310","Elektroiekārtu un konstrukciju krāsosana","Darbos ietilpst: elektroiekārtu un konstrukciju krāsošana","1.00","c.st.","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"226","70","70320","TP operatīvo apzīmējumu, drošības zīmju atjaunošana","Darbos ietilpst: TP operatīvo apzīmējumu, drošības zīmju atjaunošana","1.00","TP","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"227","70","73010","Vienstatņa TA izbūve bez atdalītāja","Darbos ietilpst: koka konstrukcijas montāža, traversas, tr-ra  un a/spr. pievienojumu montāža, pārsprieguma novadītāju montāža, ja nepieciešams, bez 0.4 kV sadales vai slēdžu montāžas, bez zemējuma kontūra montāžas, visu nepieciešamo apzīmējumu uzstādīšana","19.00","TA","1",NULL,"1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"228","70","73015","Vienstatņa TA  ar atdalītāju izbuve","Darbos ietilpst: koka konstrukcijas montāža, a/spr. iekārtas tr-ra un pievienojumu montāža, pārsprieguma novadītāju montāža, ja nepieciešams, bez 0.4 kV sadales vai slēdžu montāžas, bez zemējuma kontūra montāžas, visu nepieciešamo apzīmējumu uzstādīšana","38.00","TA","1","8v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"229","70","73020","20/0.4kV TA izbūve A vai P balstā","Darbos ietilpst: koka konstrukcijas montāža, atdalītāja montāža, iekārtas montāža bez 0.4 kV sadales vai slēdžu montāžas, bez zemējuma kontūra montāžas, visu nepieciešamo apzīmējumu uzstādīšana","49.00","TA","1","8v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"230","70","74010","Transformatora maiņa","Darbos ietilpst: pievadu atvienošana, vecā transformatora demontāža, jaunā transformatora montāža, pievadu pievienošana","8.30","gab","1","10v","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"231","70","74990","TP demontāža","Darbos ietilpst: TP iekārtas un konstrukciju demontāža","15.00","TP","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"232","70","78010","1-fāz. kontakta (rozetes) vai slēdža montāža TP","Darbos ietilpst: 1-fāzu kontakta (rozetes) vai slēdža uzstādīšana un pievienošana slēgtajā TP","0.40","gab","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"233","70","78020","Apgaismojuma armatūras montāža TP","Darbos ietilpst: apgaismojuma armatūras uzstādīšana un pievienošana slēgtajā TP","0.60"," gab","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"234","70","79990","TP un SP apskate","Darbos ietilpst: TP vai SP apskate ar mērķi noteikt defektu, bojājumu vai precizēt plānoto darbu apjomu","2.50","gab","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"235","80","80100","Slodzes un sprieguma mērīšana","Darbos ietilpst: 0,4 kV sadalnē visu fīderu fāžu strāvu un sprieguma mērīšana","1.00","trans.","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"236","80","80110","Cilpas F-0 pret. mērīšana","Darbos ietilpst: cilpas F-0 pretestības mērīšana ar cilpa-fāze-nule digitālo mēraparātu","0.60","mēr.","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"237","80","80120","PN izol. pret. mērīšana","Darbos ietilpst: pievienojuma atvienošana, izolācijas mērījums, pievienojuma atjaunošana","1.30","kpl","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"238","80","80130","Zemēšanas kontūra pretestības mērīšana","Darbos ietilpst: zemējuma kontūra atvienošana, mērīšana un pievienošana","1.50","kontūrs","1"," ","1.00",NULL,NULL,NULL,NULL,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
